movie_id,title,content,poster_path
19995,Avatar,"in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. action adventure fantasy science_fiction culture_clash future space_war space_colony society space_travel futuristic romance space alien tribe alien_planet cgi marine soldier battle love_affair anti_war power_relations mind_and_soul 3d sam_worthington zoe_saldana sigourney_weaver james_cameron",
285,Pirates of the Caribbean: At World's End,"captain barbossa, long believed to be dead, has come back to life and is headed to the edge of the earth with will turner and elizabeth swann. but nothing is quite as it seems. adventure fantasy action ocean drug_abuse exotic_island east_india_trading_company love_of_one's_life traitor shipwreck strong_woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnny_depp orlando_bloom keira_knightley gore_verbinski",
206647,Spectre,"a cryptic message from bond’s past sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive, bond peels back the layers of deceit to reveal the terrible truth behind spectre. action adventure crime spy based_on_novel secret_agent sequel mi6 british_secret_service united_kingdom daniel_craig christoph_waltz léa_seydoux sam_mendes",
49026,The Dark Knight Rises,"following the death of district attorney harvey dent, batman assumes responsibility for dent's crimes to protect the late attorney's reputation and is subsequently hunted by the gotham city police department. eight years later, batman encounters the mysterious selina kyle and the villainous bane, a new terrorist leader who overwhelms gotham's finest. the dark knight resurfaces to protect a city that has branded him an enemy. action crime drama thriller dc_comics crime_fighter terrorist secret_identity burglar hostage_drama time_bomb gotham_city vigilante cover-up superhero villainess tragic_hero terrorism destruction catwoman cat_burglar imax flood criminal_underworld batman christian_bale michael_caine gary_oldman christopher_nolan",
49529,John Carter,"john carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of barsoom (mars) and reluctantly becomes embroiled in an epic conflict. it's a world on the brink of collapse, and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands. action adventure science_fiction based_on_novel mars medallion space_travel princess alien steampunk martian escape edgar_rice_burroughs alien_race superhuman_strength mars_civilization sword_and_planet 19th_century 3d taylor_kitsch lynn_collins samantha_morton andrew_stanton",
559,Spider-Man 3,"the seemingly invincible spider-man goes up against an all-new crop of villain – including the shape-shifting sandman. while spider-man’s superpowers are altered by an alien organism, his alter ego, peter parker, deals with nemesis eddie brock and also gets caught up in a love triangle. fantasy action adventure dual_identity amnesia sandstorm love_of_one's_life forgiveness spider wretch death_of_a_friend egomania sand narcism hostility marvel_comic sequel superhero revenge tobey_maguire kirsten_dunst james_franco sam_raimi",
38757,Tangled,"when the kingdom's most wanted-and most charming-bandit flynn rider hides out in a mysterious tower, he's taken hostage by rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. animation family hostage magic horse fairy_tale musical princess animation tower blonde_woman selfishness healing_power based_on_fairy_tale duringcreditsstinger healing_gift animal_sidekick zachary_levi mandy_moore donna_murphy byron_howard",
99861,Avengers: Age of Ultron,"when tony stark tries to jumpstart a dormant peacekeeping program, things go awry and earth’s mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance. as the villainous ultron emerges, it is up to the avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. action adventure science_fiction marvel_comic sequel superhero based_on_comic_book vision superhero_team duringcreditsstinger marvel_cinematic_universe 3d robert_downey_jr. chris_hemsworth mark_ruffalo joss_whedon",
767,Harry Potter and the Half-Blood Prince,"as harry begins his sixth year at hogwarts, he discovers an old book marked as 'property of the half-blood prince', and begins to learn more about lord voldemort's dark past. adventure fantasy family witch magic broom school_of_witchcraft wizardry apparition teenage_crush werewolf daniel_radcliffe rupert_grint emma_watson david_yates",
209112,Batman v Superman: Dawn of Justice,"fearing the actions of a god-like super hero left unchecked, gotham city’s own formidable, forceful vigilante takes on metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. and with batman and superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. action adventure fantasy dc_comics vigilante superhero based_on_comic_book revenge super_powers clark_kent bruce_wayne dc_extended_universe ben_affleck henry_cavill gal_gadot zack_snyder",
1452,Superman Returns,"superman returns to discover his 5-year absence has allowed lex luthor to walk free, and that those he was closest too felt abandoned and have moved on. luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the man of steel. adventure fantasy action science_fiction saving_the_world dc_comics invulnerability sequel superhero based_on_comic_book kryptonite super_powers superhuman_strength lex_luthor brandon_routh kevin_spacey kate_bosworth bryan_singer",
10764,Quantum of Solace,"quantum of solace continues the adventures of james bond after casino royale. betrayed by vesper, the woman he loved, 007 fights the urge to make his latest mission personal. pursuing his determination to uncover the truth, bond and m interrogate mr. white, who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined. adventure action thriller crime killing undercover secret_agent british_secret_service daniel_craig olga_kurylenko mathieu_amalric marc_forster",
58,Pirates of the Caribbean: Dead Man's Chest,"captain jack sparrow works his way out of a blood debt with the ghostly davey jones, he also attempts to avoid eternal damnation. adventure fantasy action witch fortune_teller bondage exotic_island monster captain card_game east_india_trading_company compass ship daughter pirate swashbuckler aftercreditsstinger johnny_depp orlando_bloom keira_knightley gore_verbinski",
57201,The Lone Ranger,"the texas rangers chase down a gang of outlaws led by butch cavendish, but the gang ambushes the rangers, seemingly killing them all. one survivor is found, however, by an american indian named tonto, who nurses him back to health. the ranger, donning a mask and riding a white stallion named silver, teams up with tonto to bring the unscrupulous gang and others of that ilk to justice. action adventure western texas horse survivor texas_ranger partner outlaw escape lawyer train lone_ranger comanche the_lone_ranger tonto johnny_depp armie_hammer william_fichtner gore_verbinski",
